head	lemma	derivation	category	new_meaning
H1	tu	tu/	avyaya	though — still not
H1	tu	tu/	avyaya	not — but
H1	tu	tu/	avyaya	though — still
H1	tu	tu/	avyaya	it is true — but not, ere - than
H1	tu	tu/	avyaya	it is true — but not, ere — than
H1	tu	tu/	avyaya	still, nevertheless
H1	tu	tu/	avyaya	not — however
H1	tu	tu/	avyaya	certainly — but
H1	dfS	dfS	praatipadika	  to see, behold, look at, regard, consider, to wait on, visit, to see with the mind, learn, understand, to notice, care for, look into, try, examine, to see by divine intuition, think, find out, compose, contrive Aorist, to be seen, become visible, appear, to be shown, manifested, appear, to cause to see, be seen, to show a thing, person, to, to show or prove, demonstrate, to produce or pay, to wish to see, long for, to wish to show, to be always visible
H1	dfS	df/S	praatipadika	seeing, viewing, looking at
H1	dfS	df/S	praatipadika	knowing, discerning
H1	dfS	df/S	praatipadika	sight, view
H1	dfS	df/S	praatipadika	look, appearance
H1	dfS	df/S	praatipadika	the eye
H1	dfS	df/S	praatipadika	theory, doctrine
H1	dfS	df/S	praatipadika	the aspect of a planet, the observed spot
H1	Darma	Da/rma	praatipadika	that which is established, firm, steadfast decree, statute, ordinance, law
H1	Darma	Da/rma	praatipadika	usage, practice, customary observance, prescribed conduct, duty
H1	Darma	Da/rma	praatipadika	right, justice
H1	Darma	Da/rma	praatipadika	virtue, morality, religion, religious merit, good works
H1	Darma	Da/rma	praatipadika	Law, Justice personified
H1	Darma	Da/rma	praatipadika	the law, doctrine of Buddhism
H1	Darma	Da/rma	praatipadika	the ethical precepts of Buddhism
H1	Darma	Da/rma	praatipadika	the law of Northern Buddhism
H1	Darma	Da/rma	praatipadika	nature, character, peculiar condition, essential quality, property, mark, peculiarity
H1	Darma	Da/rma	praatipadika	a particular ceremony
H1	Darma	Da/rma	praatipadika	sacrifice
H1	Darma	Da/rma	praatipadika	the ninth mansion
H1	Darma	Da/rma	praatipadika	an Upaniṣad
H1	Darma	Da/rma	praatipadika	associating with the virtuous
H1	Darma	Da/rma	praatipadika	religious abstraction, devotion
H1	Darma	Da/rma	praatipadika	a bow
H1	Darma	Darma	praatipadika	a thing
H1	Darma	Da/rma	praatipadika	a Soma-drinker
H1	Darma	Da/rma	praatipadika	Name of the 15th Arhat of the present Ava-sarpiṇī
H1	Darma	Da/rma	praatipadika	Name of a son of Anu, father of Ghṛta
H1	Darma	Da/rma	praatipadika	Name of a son of Gāndhāra, f° of Dhṛta
H1	Darma	Da/rma	praatipadika	Name of a son of Haihaya, f° of Netra
H1	Darma	Da/rma	praatipadika	Name of a son of Pṛthu-śravas, of Uśanas
H1	Darma	Da/rma	praatipadika	Name of a son of Su-vrata
H1	Darma	Da/rma	praatipadika	Name of a son of Dīrgha-tapas
H1	Darma	Da/rma	praatipadika	Name of a king of Kaśmīra
H1	Darma	Da/rma	praatipadika	Name of another man
H1	Darma	Da/rma	praatipadika	Name of a lexicographer
H1	Darma	Darma	naama-dhaatu	to become, law
H1	prakfti	pra-kfti	cpd-praatipadika	making, placing before, at first, the original, natural form, condition of anything, original, primary substance
H1	prakfti	pra-kfti	cpd-praatipadika	cause, original source
H1	prakfti	pra-kfti	cpd-praatipadika	origin, extraction
H1	prakfti	pra-kfti	cpd-praatipadika	nature, character, constitution, temper, disposition, by nature, naturally, unalterably, properly
H1	prakfti	pra-kfti	cpd-praatipadika	fundamental form, pattern, standard, model, rule
H1	prakfti	pra-kfti	cpd-praatipadika	the original producer of the material world, Nature
H1	prakfti	pra-kfti	cpd-praatipadika	the 8 producers, primary essences which evolve the whole visible world
H1	prakfti	pra-kfti	cpd-praatipadika	a goddess, the personified will of the Supreme in the creation
H1	prakfti	pra-kfti	cpd-praatipadika	Name of a class of deities under Manu Raibhya
H1	prakfti	pra-kfti	cpd-praatipadika	a king's ministers, the body of ministers, counsellors, ministry
H1	prakfti	pra-kfti	cpd-praatipadika	the subjects of a king, citizens, artisans
H1	prakfti	pra-kfti	cpd-praatipadika	the constituent elements, powers of the state
H1	prakfti	pra-kfti	cpd-praatipadika	the various sovereigns to be considered in case of war
H1	prakfti	pra-kfti	cpd-praatipadika	the crude, elementary form of a word, base, root, an uninflected word, 
H1	prakfti	pra-kfti	cpd-praatipadika	Name of 2 classes of metres
H1	prakfti	pra-kfti	cpd-praatipadika	a co-efficient multiplier
H1	prakfti	pra-kfti	cpd-praatipadika	temperament, the predominance of one of the humours at the time of generation
H1	prakfti	pra-kfti	cpd-praatipadika	the third nature, a eunuch
H1	prakfti	pra-kfti	cpd-praatipadika	matter, affair
H1	prakfti	pra-kfti	cpd-praatipadika	the male, female organ of generation
H1	prakfti	pra-kfti	cpd-praatipadika	a woman, womankind
H1	prakfti	pra-kfti	cpd-praatipadika	a mother
H1	prakfti	pra-kfti	cpd-praatipadika	an animal
H1	prakfti	pra-kfti	cpd-praatipadika	Name of a woman
H1	prakfti	pra-kfti	cpd-praatipadika	Name of work
H1	banD	banD	dhaatu	to bind, tie, fix, fasten, chain, fetter, to bind round, put on, to catch, take, hold captive, to attach to world, to sin, to fix, direct, fasten, rivet on, to arrest, hold back, restrain, suppress, stop, shut, close, to bind a sacrificial victim, offer, sacrifice, to punish, chastise, to join, unite, put together, produce anything in this way, fold, clench, knit, bend, arrange, assume, set up, construct, span, bridge over, conceive, contract, compose, construct, to form, produce in any way, cause, effect, do, make, bear, strike, take up, to entertain, cherish, show, exhibit, betray to be bound by the fetters of existence, evil, sin again, to be affected by id est, that is experience, suffer, to cause to bind, catch, capture, imprison, to cause to be built, constructed, to cause to be embanked, dammed up, to bind together.
H1	brahman	bra/hman	praatipadika	pious effusion, utterance, outpouring of the heart in worshipping the gods, prayer
H1	brahman	bra/hman	praatipadika	the sacred word, the Veda, a sacred text, a text, Mantra used as a spell
H1	brahman	bra/hman	praatipadika	the Brāhmaṇa portion of the Veda
H1	brahman	bra/hman	praatipadika	the sacred syllable Om, 
H1	brahman	bra/hman	praatipadika	religious, spiritual knowledge
H1	brahman	bra/hman	praatipadika	holy life
H1	brahman	bra/hman	praatipadika	the Brahmă, one self-existent impersonal Spirit, the one universal Soul, the Self-existent, the Absolute, the Eternal
H1	brahman	bra/hman	praatipadika	the class of men who are the repositories, communicators of sacred knowledge, the Brāhmanical caste as a body
H1	brahman	bra/hman	praatipadika	food
H1	brahman	bra/hman	praatipadika	wealth
H1	brahman	bra/hman	praatipadika	final emancipation
H1	brahman	brahma/n	praatipadika	one who prays, a devout, religious man, a Brāhman who is a knower of Vedic texts, spells, one versed in sacred knowledge
H1	brahman	brahma/n	praatipadika	Name of Bṛhas-pati
H1	brahman	brahma/n	praatipadika	one of the 4 principal priests, Ṛtvijas
H1	brahman	brahma/n	praatipadika	Brahmā, the one impersonal universal Spirit manifested as a personal Creator, as the first of the triad of personal gods
H1	brahman	brahma/n	praatipadika	a lifetime of Brahmā
H1	brahman	brahma/n	praatipadika	an inhabitant of Brahmā's heaven
H1	brahman	brahma/n	praatipadika	the sun
H1	brahman	brahma/n	praatipadika	Name of Śiva, 
H1	brahman	brahma/n	praatipadika	the Veda
H1	brahman	brahma/n	praatipadika	the intellect
H1	brahman	brahma/n	praatipadika	Name of a star, δ Aurigae
H1	brahman	brahma/n	praatipadika	a particular astronomy Yoga
H1	brahman	brahma/n	praatipadika	Name of the 9th Muhūrta
H1	brahman	brahma/n	praatipadika	a particular Kalpa
H1	brahman	brahma/n	praatipadika	Name of the servant of the 10th Arhat of the present Avasarpiṇī
H1	brahman	brahma/n	praatipadika	Name of a magician
H1	BAva	BAva/	praatipadika	becoming, being, existing, occurring, appearance
H1	BAva	BAva/	praatipadika	turning, transition into
H1	BAva	BAva/	praatipadika	continuance
H1	BAva	BAva/	praatipadika	state, condition, rank
H1	BAva	BAva/	praatipadika	true condition, state, truth, reality
H1	BAva	BAva/	praatipadika	manner of being, nature, temperament, character
H1	BAva	BAva/	praatipadika	manner of acting, conduct, behaviour
H1	BAva	BAva/	praatipadika	any state of mind and body, way of thinking, feeling, sentiment, opinion, disposition, intention with whatever disposition of mind, to be ill disposed against, to make a firm resolution
H1	BAva	BAva/	praatipadika	passion, emotion
H1	BAva	BAva/	praatipadika	conjecture, supposition
H1	BAva	BAva/	praatipadika	purport, meaning, such is the sense
H1	BAva	BAva/	praatipadika	love, affection, attachment, to feel an affection for
H1	BAva	BAva/	praatipadika	the seat of the feelings, affections, heart, soul, mind with a pleased mind
H1	BAva	BAva/	praatipadika	that which is, exists, thing, substance, being, living creature all earthly objects, plants, animals
H1	BAva	BAva/	praatipadika	a discreet, learned man
H1	BAva	BAva/	praatipadika	the state, condition of a planet
H1	BAva	BAva/	praatipadika	an astrological house, lunar mansion
H1	BAva	BAva/	praatipadika	Name of the 27th Kalpa
H1	BAva	BAva/	praatipadika	of the 8th year in Jupiter's cycle of 60 years
H1	BAva	BAva/	praatipadika	the fundamental notion of the verb, the sense conveyed by the abstract noun
H1	BAva	BAva/	praatipadika	Name of the author of the Bhāvaprakāśa
H1	BAva	BAva/	praatipadika	wanton sport, dalliance
H1	BAva	BAva/	praatipadika	birth
H1	BAva	BAva/	praatipadika	place of birth, the womb
H1	BAva	BAva/	praatipadika	the world, universe
H1	BAva	BAva/	praatipadika	an organ of sense
H1	BAva	BAva/	praatipadika	superhuman power
H1	BAva	BAva/	praatipadika	the Supreme Being
H1	BAva	BAva/	praatipadika	advice, instruction
H1	BAva	BAva/	praatipadika	contemplation, meditation
H1	BU	BU	dhaatu	Name of a Yogin
H1	BU	BU/	dhaatu	becoming, being, existing, springing, arising
H1	BU	BU/	dhaatu	Name of Viṣṇu
H1	BU	BU/	dhaatu	Name of an Ekāha
H1	BU	BU/	dhaatu	the act of becoming, arising
H1	BU	BU/	dhaatu	the place of being, space, world, universe
H1	BU	BU/	dhaatu	the earth, symbolical name for the number one
H1	BU	BU/	dhaatu	one of the three Vyāhṛtis
H1	BU	BU/	dhaatu	earth, ground, soil, land, landed property
H1	BU	BU/	dhaatu	floor, pavement
H1	BU	BU/	dhaatu	a place, spot, piece of ground
H1	BU	BU/	dhaatu	the base of any geometrical figure
H1	BU	BU/	dhaatu	object, matter
H1	BU	BU/	dhaatu	a term for the letter
H1	BU	BU/	dhaatu	a sacrificial fire
H1	BU	BU	dhaatu	a particular land-measure
H1	mad	mad	dhaatu	base of the first person pronoun in the singular number number
H1	mad	mad	dhaatu	to rejoice, be glad, exult, delight, revel in, be drunk with, to enjoy heavenly bliss, to boil, bubble, to gladden, exhilarate, intoxicate, animate, inspire, to gladden, delight, satisfy, exhilarate, intoxicate, inflame, inspire, to be glad, rejoice, be pleased, happy, at ease, to enjoy heavenly bliss, 
H1	mad	mad	dhaatu	to tarry, stand still, pause
H1	muc	muc	dhaatu	  to cheat
H1	muc	muc	dhaatu	to loose, let loose, free, let go, slacken, release, liberate, to spare, let live, to set free, allow to depart, dismiss, despatch, to relinquish, abandon, leave, quit, give up, set aside, depose, to yield, grant, bestow, to send forth, shed, emit, utter, discharge, throw, cast, hurl, shoot, to put on, to be loosed, to be set free, released, to deliver one's self from, to get rid of, escape,to abstain from, to be deprived, destitute of, to cause to loose, let go, give up, discharge, shed, to unloose, unyoke, unharness, to set free, liberate, absolve from, to redeem, to open, to give away, spend, bestow, to gladden, delight, yield enjoyment, to wish to deliver, to wish, be about to set free, to be about to give up, relinquish, to wish, intend to cast, hurl, to wish to free one's self, to desire final liberation, beatitude.
H1	muc	muc	dhaatu	freeing, delivering from
H1	muc	muc	dhaatu	letting go, letting fall, dropping, discharging, shooting, sending
H1	muc	muc	dhaatu	deliverance
H1	yuj	yuj	dhaatu	to make ready, prepare, arrange, fit out, set to work, use, employ, apply, to equip, to offer, perform, to put on, to fix in, insert, inject, to appoint or to charge or intrust with, to command, enjoin, to turn, direct, fix, concentrate, to concentrate the mind in order to obtain union with the Universal Spirit, be absorbed in meditation, to recollect, recall, to join, unite, connect, add, bring together, to confer, bestow anything upon, to bring into possession of, furnish, endow with, to join one's self to, to come into union, conjunction with, to be yoked, harnessed, joined, to attach one's self to, to be made ready, prepared for, to be united in marriage, to be endowed with, possessed of, to come into conjunction with, to accrue to, fall to the lot of, to be fit, proper, suitable, right, suit anything, be fitted for, belong to, suit any one, deserve to be, not to be fit, proper for, to harness, yoke with, put to, to equip, draw up, to use, employ, set to work, apply, undertake, carry on, perform, accomplish, to urge, impel to, to lead towards, help to, to set, to aim at, to fasten on, attack, adjust, add, insert, to join, unite, connect, combine, bring or put together, to encompass, embrace, to put in order, arrange, repair, restore, to endow, furnish, provide with, to mix with, to confer anything upon, to ascertain or know the conjunction of the moon with an asterism, to think little of, esteem lightly, despise, to wish to harness, yoke, join, to wish to appoint or institute, to wish to fix or aim, to wish to be absorbed in meditation, devout
H1	yuj	yu/j	dhaatu	joined, yoked, harnessed, drawn by
H1	yuj	yu/j	dhaatu	furnished or provided or filled with, affected by, possessed of
H1	yuj	yu/j	dhaatu	bestowing, granting
H1	yuj	yu/j	dhaatu	exciting, an exciter
H1	yuj	yu/j	dhaatu	being in couples, pairs, even
H1	yuj	yu/j	dhaatu	a yoke-fellow, companion, comrade, associate
